symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:GP,GP,GRAMEENPHONE LTD,426289741898.0,315.7,-0.4100946372239784,142954.0,0.642915512157037,14.476670870113493,21.8075,10.4529616724739,Communications
DSEBD:SQURPHARMA,SQURPHARMA,SQUARE PHARMACEUTICALS PLC,203529152432.0,229.6,-0.4768097095795381,521282.0,0.65872288265975,8.659608733532222,26.5139,4.79094076655052,Health technology
DSEBD:BATBC,BATBC,BRITISH AMERICAN TOBACCO BANGLADESH CO LTD,160380000000.0,297.0,-0.7352941176470551,145290.0,0.22576643111583256,9.687646782527008,30.6576,10.1010101010101,Consumer non-durables
DSEBD:ROBI,ROBI,ROBI AXIATA PLC,142471784465.0,27.2,-1.4492753623188481,1815639.0,0.36050196139352336,19.744483159117305,1.3776,5.51470588235294,Communications
DSEBD:BRACBANK,BRACBANK,BRAC BANK LTD,135781157180.99998,68.2,-1.3024602026049081,1889499.0,0.4662224896817223,9.588752196836555,7.1125,1.62919501466276,Finance
DSEBD:WALTONHIL,WALTONHIL,WALTON HI-TECH INDUSTRIES PLC ,135318095287.0,446.7,-1.6079295154185047,22879.0,0.6266742630503498,10.484635678274012,42.6052,7.83523617640475,Consumer durables
DSEBD:BEXIMCO,BEXIMCO,BEXIMCO LTD,103850264528.0,110.1,0.0,500.0,8.532423208191092,,-4.1965,0.0,Process industries
DSEBD:MARICO,MARICO,MARICO BANGLADESH LTD,92339096924.0,2931.4,-1.528435620947966,5398.0,0.5517678445482516,15.634583609341284,187.4946,13.0995428805349,Consumer non-durables
DSEBD:UPGDCL,UPGDCL,UNITED POWER GENERATION AND DISTRIBUTION COMPANY LTD ,80403729609.0,138.7,-2.5298664792691654,149966.0,1.0997945118078685,6.896620307986057,20.1113,4.32588320115357,Utilities
DSEBD:BERGERPBL,BERGERPBL,BERGER PAINTS BANGLADESH LTD,76129020809.0,1550.3,-1.1981390606079891,4517.0,0.3084202763970066,21.43403259278103,72.3289,3.38644133393537,Process industries
DSEBD:ISLAMIBANK,ISLAMIBANK,ISLAMI BANK BANGLADESH PLC,73093575723.0,45.4,-2.3655913978494656,851850.0,0.6911050476427221,,,2.20264317180617,Finance
DSEBD:LHB,LHB,LAFARGEHOLCIM BANGLADESH PLC ,66778978271.0,57.5,-3.361344537815126,1188668.0,0.7883106440055189,17.822825615274937,3.2262,6.60869565217391,Non-energy minerals
DSEBD:RENATA,RENATA,RENATA PLC,57417066125.0,500.6,-1.0280743376828763,59356.0,0.530759477145223,20.40516854848571,24.533,1.83779464642429,Health technology
DSEBD:BXPHARMA,BXPHARMA,BEXIMCO PHARMACEUTICALS LTD ,52061279666.0,116.7,-1.1854360711261571,1283414.0,0.9980647056783323,8.194073866030052,14.242,3.42759211653813,Health technology
DSEBD:UNILEVERCL,UNILEVERCL,UNILEVER CONSUMER CARE LTD,48334208050.0,2507.7,0.0997924317419767,831.0,1.6329337787384508,,,2.07361327112494,Health technology
DSEBD:DUTCHBANGL,DUTCHBANGL,DUTCH-BANGLA BANK PLC,43018199432.0,44.5,-0.8908685968819567,135718.0,0.22125807578608336,11.464935332611944,3.8814,1.85718202247191,Finance
DSEBD:ICB,ICB,INVESTMENT CORPORATION OF BANGLADESH I.C.B.,41628427734.0,48.0,-1.437371663244359,147663.0,0.5891111209520379,198.42910293509715,0.2419,0.416666666666667,Finance
DSEBD:EBL,EBL,EASTERN BANK PLC,40852822484.0,25.6,-1.1583011583011473,1440100.0,0.3566243461381392,5.926200287050327,4.3198,5.817821484375,Finance
DSEBD:PUBALIBANK,PUBALIBANK,PUBALI BANK PLC,39043044434.0,30.0,-2.9126213592232966,757621.0,0.35373231171525116,4.2146078307413495,7.1181,3.29218,Finance
DSEBD:CITYBANK,CITYBANK,CITY BANK PLC,36357209234.0,23.9,-3.2388663967611366,8749008.0,0.5369303077371912,3.573244027150674,6.6886,4.649,Finance
DSEBD:OLYMPIC,OLYMPIC,OLYMPIC INDUSTRIES PLC.,33689700149.999996,168.5,-0.9988249118683835,359615.0,0.6970412260591057,18.19536531110295,9.2606,0.593471810089021,Consumer non-durables
DSEBD:MJLBD,MJLBD,MJL BANGLADESH PLC,32055305955.0,101.2,-1.7475728155339778,581544.0,1.109619222378916,9.876254050044892,10.2468,5.13833992094862,Process industries
DSEBD:PRIMEBANK,PRIMEBANK,PRIME BANK PLC,31684121844.0,27.3,-1.7985611510791366,1805122.0,0.5030706275408401,3.812476433868197,7.1607,6.25390842490843,Finance
DSEBD:POWERGRID,POWERGRID,POWER GRID COMPANY OF BANGLADESH LTD,30155631226.0,33.0,-2.941176470588235,225909.0,0.7287036848874038,,-7.6473,0.0,Utilities
DSEBD:BSCPLC,BSCPLC,BANGLADESH SUBMARINE CABLES PLC,28261571207.0,151.1,-4.245880861850454,481973.0,1.2477283341324061,19.18827622990374,7.8746,2.64725347452019,Communications
DSEBD:BSRMLTD,BSRMLTD,BANGLADESH STEEL RE-ROLLING MILLS LTD,27081624598.0,90.7,-0.5482456140350876,182362.0,1.1040967254652068,5.147910186845869,17.6188,3.85887541345094,Non-energy minerals
DSEBD:BEACONPHAR,BEACONPHAR,BEACON PHARMACEUTICALS PLC,25733400352.0,111.4,-1.241134751773042,115978.0,0.7481346304320201,,,1.79533213644524,Health technology
DSEBD:BSRMSTEEL,BSRMSTEEL,BSRM STEELS LTD,24624889709.0,65.5,-2.9629629629629632,92914.0,0.4416232556370965,5.554895941109622,11.7914,4.88549618320611,Non-energy minerals
DSEBD:BANKASIA,BANKASIA,BANK ASIA PLC,23854455079.0,18.6,-2.6178010471204183,3220250.0,0.4166588603106678,8.240662797394888,2.2571,4.88758602150543,Finance
DSEBD:MPETROLEUM,MPETROLEUM,MEGHNA PETROLEUM LTD,23039209207.0,212.9,-1.022780102278005,271180.0,1.5899958898623838,3.7023447023777436,57.5041,7.98496946923438,Distribution services
DSEBD:TITASGAS,TITASGAS,TITAS GAS TRANSMISSION AND DISTRIBUTION PLC,21367191295.0,21.6,-3.999999999999994,822461.0,1.0741085129584766,,-15.43,2.31481481481482,Utilities
